,precision,recall,f1-score,support
Apple___Apple_scab,1.0,0.9146825396825397,0.9554404145077721,504.0
Apple___Black_rot,0.9427480916030534,0.993963782696177,0.9676787463271302,497.0
Apple___Cedar_apple_rust,0.9840909090909091,0.9840909090909091,0.9840909090909091,440.0
Apple___healthy,0.893048128342246,0.99800796812749,0.9426152398871119,502.0
Blueberry___healthy,0.9889380530973452,0.9845814977973568,0.9867549668874173,454.0
Cherry_(including_sour)___Powdery_mildew,1.0,0.9857482185273159,0.992822966507177,421.0
Cherry_(including_sour)___healthy,0.9929906542056075,0.9320175438596491,0.9615384615384616,456.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.9420289855072463,0.9512195121951219,0.9466019417475728,410.0
Corn_(maize)___Common_rust_,0.9875518672199171,0.9979035639412998,0.9927007299270073,477.0
Corn_(maize)___Northern_Leaf_Blight,0.9723991507430998,0.960167714884696,0.9662447257383966,477.0
Corn_(maize)___healthy,0.9978540772532188,1.0,0.9989258861439313,465.0
Grape___Black_rot,0.9935760171306209,0.9830508474576272,0.9882854100106496,472.0
Grape___Esca_(Black_Measles),0.96,1.0,0.9795918367346939,480.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.979498861047836,1.0,0.9896432681242808,430.0
Grape___healthy,0.9925742574257426,0.9479905437352246,0.969770253929867,423.0
Orange___Haunglongbing_(Citrus_greening),0.9920159680638723,0.9880715705765407,0.9900398406374502,503.0
Peach___Bacterial_spot,0.982532751091703,0.9803921568627451,0.9814612868047983,459.0
Peach___healthy,0.9837209302325581,0.9791666666666666,0.9814385150812065,432.0
"Pepper,_bell___Bacterial_spot",1.0,0.9163179916317992,0.9563318777292577,478.0
"Pepper,_bell___healthy",0.9929245283018868,0.8470824949698189,0.9142236699239956,497.0
Potato___Early_blight,0.9817813765182186,1.0,0.9908069458631257,485.0
Potato___Late_blight,0.975609756097561,0.9896907216494846,0.9825997952917093,485.0
Potato___healthy,0.9753914988814317,0.956140350877193,0.9656699889258029,456.0
Raspberry___healthy,0.9927884615384616,0.9280898876404494,0.959349593495935,445.0
Soybean___healthy,0.7293777134587555,0.998019801980198,0.842809364548495,505.0
Squash___Powdery_mildew,1.0,0.988479262672811,0.9942062572421785,434.0
Strawberry___Leaf_scorch,1.0,0.9932432432432432,0.9966101694915255,444.0
Strawberry___healthy,0.9977728285077951,0.9824561403508771,0.9900552486187846,456.0
Tomato___Bacterial_spot,0.9360730593607306,0.9647058823529412,0.9501738122827347,425.0
Tomato___Early_blight,0.9518599562363238,0.90625,0.928495197438634,480.0
Tomato___Late_blight,0.8871287128712871,0.9676025917926566,0.9256198347107438,463.0
Tomato___Leaf_Mold,0.9978021978021978,0.9659574468085106,0.9816216216216216,470.0
Tomato___Septoria_leaf_spot,0.9710843373493976,0.9243119266055045,0.9471210340775558,436.0
Tomato___Spider_mites Two-spotted_spider_mite,0.9259259259259259,0.9195402298850575,0.922722029988466,435.0
Tomato___Target_Spot,0.981029810298103,0.7921225382932167,0.8765133171912833,457.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,1.0,0.9428571428571428,0.9705882352941176,490.0
Tomato___Tomato_mosaic_virus,0.9977324263038548,0.9821428571428571,0.9898762654668166,448.0
Tomato___healthy,0.8421985815602837,0.9875259875259875,0.9090909090909091,481.0
accuracy,0.9614158889141816,0.9614158889141816,0.9614158889141816,0.9614158889141816
macro avg,0.966369733501768,0.9614103035363448,0.9623718570505136,17572.0
weighted avg,0.9655836305878199,0.9614158889141816,0.961904384779341,17572.0
