,precision,recall,f1-score,support
Apple___Apple_scab,0.9899799599198397,0.9801587301587301,0.9850448654037887,504.0
Apple___Black_rot,0.993963782696177,0.993963782696177,0.993963782696177,497.0
Apple___Cedar_apple_rust,0.9954441913439636,0.9931818181818182,0.9943117178612059,440.0
Apple___healthy,0.9804305283757339,0.99800796812749,0.9891411648568608,502.0
Blueberry___healthy,1.0,0.9955947136563876,0.9977924944812362,454.0
Cherry_(including_sour)___Powdery_mildew,1.0,1.0,1.0,421.0
Cherry_(including_sour)___healthy,0.9956236323851203,0.9978070175438597,0.9967141292442497,456.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.9786666666666667,0.8951219512195122,0.935031847133758,410.0
Corn_(maize)___Common_rust_,0.9978991596638656,0.9958071278825996,0.9968520461699895,477.0
Corn_(maize)___Northern_Leaf_Blight,0.9067961165048544,0.9790356394129979,0.9415322580645161,477.0
Corn_(maize)___healthy,0.9957173447537473,1.0,0.9978540772532188,465.0
Grape___Black_rot,0.9772256728778468,1.0,0.9884816753926702,472.0
Grape___Esca_(Black_Measles),1.0,0.9770833333333333,0.9884088514225501,480.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.9976744186046511,0.9976744186046511,0.9976744186046511,430.0
Grape___healthy,0.9976415094339622,1.0,0.9988193624557261,423.0
Orange___Haunglongbing_(Citrus_greening),0.998015873015873,1.0,0.9990069513406157,503.0
Peach___Bacterial_spot,0.9827956989247312,0.9956427015250545,0.9891774891774892,459.0
Peach___healthy,0.9930232558139535,0.9884259259259259,0.9907192575406032,432.0
"Pepper,_bell___Bacterial_spot",0.9896265560165975,0.997907949790795,0.99375,478.0
"Pepper,_bell___healthy",0.9919191919191919,0.9879275653923542,0.9899193548387096,497.0
Potato___Early_blight,0.9738955823293173,1.0,0.9867751780264497,485.0
Potato___Late_blight,0.9815195071868583,0.9855670103092784,0.9835390946502057,485.0
Potato___healthy,0.9977728285077951,0.9824561403508771,0.9900552486187846,456.0
Raspberry___healthy,1.0,1.0,1.0,445.0
Soybean___healthy,0.9863013698630136,0.998019801980198,0.9921259842519685,505.0
Squash___Powdery_mildew,0.9977011494252873,1.0,0.998849252013809,434.0
Strawberry___Leaf_scorch,1.0,1.0,1.0,444.0
Strawberry___healthy,0.9978070175438597,0.9978070175438597,0.9978070175438597,456.0
Tomato___Bacterial_spot,0.9453302961275627,0.9764705882352941,0.9606481481481481,425.0
Tomato___Early_blight,0.9496567505720824,0.8645833333333334,0.9051254089422028,480.0
Tomato___Late_blight,0.9645232815964523,0.9395248380129589,0.9518599562363238,463.0
Tomato___Leaf_Mold,0.9848156182212582,0.9659574468085106,0.9752953813104189,470.0
Tomato___Septoria_leaf_spot,0.9568345323741008,0.9151376146788991,0.9355216881594373,436.0
Tomato___Spider_mites Two-spotted_spider_mite,0.9208791208791208,0.9632183908045977,0.9415730337078652,435.0
Tomato___Target_Spot,0.8645833333333334,0.9080962800875274,0.8858057630736392,457.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9937106918238994,0.9673469387755103,0.9803516028955532,490.0
Tomato___Tomato_mosaic_virus,0.9911111111111112,0.9955357142857143,0.9933184855233853,448.0
Tomato___healthy,0.9652351738241309,0.9812889812889813,0.9731958762886598,481.0
accuracy,0.9795697700887775,0.9795697700887775,0.9795697700887775,0.9795697700887775
macro avg,0.9798452874641043,0.9793250194722957,0.9793695490349664,17572.0
weighted avg,0.9799038984181221,0.9795697700887775,0.9795246688558703,17572.0
